Date / Time,City,State,Shape,Duration,Summary,Posted
12/26/2009 17:30,Bethel,AK,Disk,1.5 MINUTES,Large fireball-like red/orange disc low in the sky and moving slowly right to left. Soundless. Clear night.,2/14/2010
12/2/2009 21:20,Fort Greely,AK,Triangle,10 seconds,Look those coordinates on google earth ;) :0,2/14/2010
12/1/2009 16:00,Kaktovik,AK,Light,30 minutes,Three lights dancing around each other,12/12/2009
9/3/2009 22:30,Healy,AK,Light,1+ hours,"Objects in night sky over Healy, AK moving at high speeds and changing directions instantaneously.",12/12/2009
8/28/2009 23:00,Anchorage,AK,Formation,20 minutes,Odd Cloud Formation Lit Up and Moving Toward and Away from us.,12/12/2009
8/8/2009 23:40,Homer,AK,Oval,30-40 seconds,Single light changing to multiple lights and back,8/27/2009
7/29/2009 13:00,North of Pt. Barrow,AK,Disk,45 Minutes,We saw Six Disk Shaped Aircraft while Staioned in the USAF in Alaska,4/13/2010
6/27/2009 2:30,Juneau,AK,Triangle,10 seconds,Triangular shaped craft with red lights seen lowering from the sky.,8/5/2009
5/25/2009 20:00,Anchorage,AK,Disk,10-15min,black/silver disc over anchorage alaska,6/9/2009
5/9/2009 2:30,Eagle River,AK,,1 minute,"I was walking home from a friends house. While walking, I noticed two objects; which, appeard to be stars. There was a construction wa",5/12/2009
3/31/2009 23:00,Fairbanks,AK,Light,10 min or so,"UFO's in Fairbanks, Alaska",4/14/2009
2/20/2009 22:00,Fairbanks,AK,Light,3-4 seconds,Bright green light,3/19/2009
1/24/2009 18:00,Fairbanks,AK,Oval,a little more than a week,"Bright light high above my town, very peculiar looking when viewed through a telescope. ((NUFORC Note: Venus?? PD))",3/19/2009
1/20/2009 19:15,Wasilla,AK,Triangle,15 minutes,"3 lights low on north horizon outside of Wasilla, AK 01/20/09 @ 7:15pm local time.",3/19/2009
1/2/2009 21:00,Venetie,AK,Circle,5 min.,"southeast of venetie,alaska 99781 object setting about 500 feet above the ground with red and green light for about 5 minutes in one pl",1/10/2009
1/1/2009 1:15,Bethel,AK,Other,15 minutes,Possible Bethel UFO sighting,1/10/2009
12/29/2008 15:10,Tok (30 miles NW of),AK,Other,25 minutes,erratic vapor trail accompanied by an explosion was witnessed by me in my SE sky at around 15:10 AST,1/10/2009
12/29/2008 15:00,Fairbanks,AK,Unknown,seconds,the light was very bright and had a very large vapor trail,1/10/2009
10/3/2008 20:00,Kodiak,AK,Light,almost ten whole minutes,"didn't behave like a toy helicopter, hikers or hunters",10/31/2008
10/1/2008 23:00,Juneau,AK,Light,15 minutes,Zigzagging ball of light next to a mountain.,1/16/2015
7/3/2008 16:40,Fairbanks,AK,Unknown,2 minutes,White oblong object moving fast through clear sky and fades into the blue.,7/5/2008
6/23/2008 15:00,Anchorage,AK,Teardrop,2-3 minutes,rotating teardrop over trees/highway,5/2/2011
4/29/2008,Alaska,AK,Cigar,on tv,ufo seen in the show deadliest catch,6/10/2010
3/31/2008 0:00,Eagle River,AK,Light,~20 min,Zig-zaging light moves over north horizon of Alaska town.,3/31/2008
3/29/2008 11:00,Anchorage,AK,Disk,45 minutes,Brown rustic red sideways disc shaped UFO and hovering very slowly through the air with pauses at random.,3/31/2008
3/29/2008 11:00,Anchorage,AK,Disk,45 minutes,"it was a definite flying saucer, that made no sound, no lights, rusty colored round",3/31/2008
2/6/2008 19:00,Anchorage,AK,Light,unknown,orb with tail captured on camera in Alaska 02.06.08,2/14/2008
1/1/2008 0:08,Nunapitchuk,AK,Fireball,2-3 Minutes,Red fireball looking object passing a village in Alaska.,1/21/2008
11/5/2007 20:30,Anchorage,AK,Triangle,4-5 seconds,Triangular shaped UFO blocks out starlight Anchorage evening sky,11/28/2007
